Name,SMC Section,Height (ft),xcoord,ycoord
Sgurr na Banachdich,17,3166,144046,822448
Carn a' Chlamain,6,3161,291591,775807
Sgurr Thuilm,10,3159,193906,787980
Ben Klibreck - Meall nan Con,16,3156,258530,929921
Sgorr Ruadh,13,3152,195907,850506
Stuc an Lochain [Stuchd an Lochain],2,3150,248305,744840
Beinn nan Aighenan,3,3150,214851,740528
Meall Glas,2,3146,243148,732194
Beinn Fhionnlaidh,3,3146,209508,749769
Bruach na Frithe,17,3146,146085,825198
Stob Dubh (Buachaille Etive Beag),3,3143,217910,753541
Tolmount,7,3143,321051,780018
Tom Buidhe,7,3140,321367,778774
Carn Ghluasaid,11,3140,214576,812523
Sgurr nan Coireachan,10,3136,190290,788013
Saileag,11,3136,201774,814827
Sgor Gaibhre,4,3133,244477,767448
Beinn Liath Mhor Fannaich,14,3130,221960,872410
Sgurr nan Coireachan,10,3129,193308,795827
Stob na Broige (Buachaille Etive Mor),3,3128,219072,752568
Beinn Mhanach,2,3127,237371,741140
Am Faochagach,15,3127,230361,879372
Meall Dearg (Aonach Eagach),3,3124,216124,758363
Meall Chuaich,5,3120,271648,787834
Meall Gorm,14,3116,222192,869584
Beinn Bhuidhe,1,3112,220368,718717
Sgurr Mhic Choinnich,17,3111,145020,821043
Driesh,7,3107,327116,773588
Sgurr na Sgine,10,3104,194618,811368
Creag a' Mhaim,10,3104,208790,807772
Meall Buidhe,10,3104,184898,798977
Beinn Tulaichean,1,3103,241660,719604
Carn Dearg,9,3103,263568,802398
Carn Bhac,6,3101,305104,783225
Stob a' Choire Odhair,3,3100,225731,745982
Bidein a' Choire Sheasgaich,12,3100,204906,841265
An Socach,6,3097,307938,780016
Sgurr Dubh Mor,17,3097,145758,820547
Ben Vorlich,1,3094,229509,712474
Binnein Beag,4,3094,222173,767714
Beinn a' Chroin,1,3089,238755,718573
Carn Dearg,4,3087,241773,766143
Carn na Caim,5,3087,267700,782153
Mullach nan Coirean,4,3082,212233,766243
Mount Keen,7,3081,340905,786927
Luinne Bheinn,10,3081,186979,800740
Beinn Sgulaird,3,3074,205303,746088
Sron a' Choire Ghairbh,10,3074,222247,794560
A' Bhuidheanach Bheag,5,3071,266059,777594
Beinn na Lap,4,3068,237616,769585
Beinn Tarsuinn,14,3064,203960,872794
Meall a' Chrasgaidh,14,3064,218482,873320
Am Basteir,17,3064,146564,825302
The Cairnwell,6,3061,313486,777360
Maol Chean-dearg,13,3061,192406,849911
Fionn Bheinn,14,3061,214749,862149
Beinn Chabhair,1,3058,236760,717957
